term,value,context,context value,level
@topic,Адæймаг.Бауæр
@author,Kazbek Byasov
@author_local,Биасти Георги фурт Хъазибег
abdomen,губун,,,simple
ankle,фадигъолæ,,,hard
arm,къох,,,simple
armpit,дæларм,,,normal
back,фæсонтæ,,,simple
beard,закъе,,,normal
big toe,хестæр æнгулдзæ,,,simple
brain,магъз,,,normal
buttocks,лæбæзтæ,,,normal
calf,зæнгæ,,,normal
cheek,рос,,,simple
chest,реу,,,simple
chin,роцъо,,,simple
ear,гъос,,,simple
elbow,рæмбуйнæ,,,simple
esophagus,сауæсхолæ,,,hard
eyebrow,æрфуг,,,normal
eyelashes,цæстихауæ,,,normal
eyelid,тъæфалæ,,,normal
face,цæсгон,,,simple
fingernail,них,,,simple
forearm,базуг,,,normal
forehead,тæрних,,,simple
hair,хелæ,,,simple
heel,зæбæт,,,normal
hip,суйнæ,,,normal
index finger,æхсун æнгулдзæ,,,simple
instep,уæлфад,,,normal
jaw,æфсæрæ,,,normal
knee,уæраг,,,simple
knuckle,мустукъи,,,hard
leg,къах,,,simple
leg,фад,,,simple
lip,билæ,,,simple
little finger,кæстæр æнгулдзæ,,,simple
little toe,кæстæр æнгулдзæ,,,simple
mouth,цъух,,,simple
mustache,бецъотæ,,,normal
neck,бæрзæй,,,simple
nose,фий,,,simple
nostril,финдзи цъасæ,,,hard
palm,армитъæпæн,,,simple
pupil,цæсти гагу,,,hard
shoulder,усхъæ,,,simple
sideburn,инхагæ,,,hard
thigh,суйнæ,,,normal
throat,гъæлæс,,,hard
thumb,дзиамбас,,,simple
toe,æнгулдзæ,,,simple
toenail,них,,,simple
tongue,æвзаг,,,simple
tooth,дæндаг,,,simple
upper arm,усхъæ,,,simple
waist,астæу,,,hard
wrist,цонгигъолæ,,,hard
