term,value,context,context value,level
@topic,Нимæцтæ,,,
@author,Kazbek Biasti,,,
eight,аст,,,simple
eighteen,æвддæс,,,normal
eleven,еуæндæс,,,normal
fifteen,финддæс,,,normal
five,фондз,,,simple
four,цуппар,,,simple
fourteen,цуппæрдæс,,,normal
nine,фараст,,,simple
nineteen,нудæс,,,normal
one,еу,,,simple
one hundred,сæдæ,,,normal
one million,милуан,,,normal
one thousand,мин,,,normal
seven,авд,,,simple
seventeen,æсддæс,,,normal
six,æхсæз,,,simple
sixteen,æхсæрдæс,,,normal
ten,дæс,,,simple
thirteen,æртиндæс,,,normal
three,æртæ,,,simple
twelve,дууадæс,,,normal
twenty,инсæй,,,normal
two,дууæ,,,simple
zero,нол,,,normal
