term,value,context,context value,level
@topic,Адæймаг.Буар,,,
@author,Биасти Георги Фурт Хъазибег,,,
abdomen,гуыбын,,,simple
arm,къух,,,simple
armpit,дæларм,,,normal
back,фæсон,,,simple
beard,боцъо,,,normal
big toe,хистæр æнгуылдз,,,simple
brain,магъз,,,normal
buttocks,лæбæз,,,normal
calf,зæнг,,,normal
cheek,рус,,,simple
chest,риу,,,simple
chin,роцъо,,,simple
ear,хъус,,,simple
elbow,рæмбыныкæдз,,,simple
esophagus,ласæггаг,,,hard
eyebrow,æрфыг,,,normal
eyelashes,цæстыхау,,,normal
eyelid,уæлтъыфал,,,normal
face,цæсгом,,,simple
fingernail,ных,,,simple
forearm,мæкъуыстæг,,,normal
forehead,тæрных,,,simple
hair,сæрыхъуын,,,simple
heel,зæвæт,,,normal
hip,син,,,normal
index finger,амонæг æнгуылдз,,,simple
jaw,æфсæр,,,normal
knee,уæраг,,,simple
knuckle,тымбылкъух,,,hard
leg,къах,,,simple
lip,был,,,simple
little finger,кæстæр æнгуылдз,,,simple
little toe,кæстæр æнгуылдз,,,simple
middle finger,астæуыккаг æнгуылдз,,,simple
mouth,дзых,,,simple
mustache,рихитæ,,,normal
neck,бæрзæй,,,simple
nose,фындз,,,simple
nostril,фындзыхуынкъ,,,hard
palm,армытъæпæн,,,simple
pupil,гагуы,,,hard
ring finger,æнæном æнгуылдз,,,simple
shoulder,æккой,,,simple
spinal cord,астæуыстæджы магъз,,,hard
thigh,агъд,,,normal
throat,ныхъуырæн,,,hard
thumb,хистæр æнгуылдз,,,simple
toe,æнгуылдз,,,simple
toenail,ных,,,simple
tongue,æвзаг,,,simple
tooth,дæндаг,,,simple
upper arm,æккой,,,simple
waist,ронбаст,,,hard
windpipe,хурхуадындз,,,hard
wrist,фæсарм,,,hard
